tweet_id_customer,text_customer,text_brand
702978,"@AmazonHelp Why is your Logistics team not available to complain to by phone? Disgraceful service today, parcel left in unsafe place which has now been stolen, and order says ""delivered to person"" which is blatant lie!",@280492 I'm very sorry. Please let us look into this further and go over options with you by using this link: https://t.co/JzP7hlA23B ^DO
885371,"@115850 @115821 Never expected that online people cheat like this to Customers, trusted @115850  but not now @115851 hope this reaches to you. #Cheat",@330228 Sorry for the trouble. Kindly report this to our support team here: https://t.co/vlvfJr4nN9 and we'll check this. ^HN
1885979,"Eventhough there is no problem with address @12339 boys doing this @115850 can you help?

Intresting part is ""They Swtched off PHONE"" https://t.co/gQPKkgyCSS",@562527 That shouldn't be the case. Have your reported this to our support team?You can report this here: https://t.co/R3EfhzgU8B.^CB
1725376,@115850 20 days since I ordered dis. I gt updates of delivery attempts in some weird location nd no real delivery #EkBaarAmazonTryTohKarr https://t.co/DBcrycAQUe,"@521830 so that we can get in touch with you. Please don’t provide your order details, we consider them as personal information. ^VM"
820629,@AmazonHelp Es esto correcto? Como se si mi fax se ha recibido?,@315472 Por favor contacta a través del enlace que te brindé en el tuit anterior. No contamos con detalles adicionales. ^JQ
2636816,"@AmazonHelp Hallo! Wie kann es sein, dass mir heute morgen angezeigt wurde, ich könne noch bis nach 15 Uhr bestellen, um den Artikel morgen zu erhalten, ich mich darauf verlasse, und es nun schon vor 14 Uhr heißt, Lieferung selbst mit Morning-Express frühestens Montag? https://t.co/vicc8sPPuZ",@744252 Das hängt leider auch immer von der Zieladresse mit ab und in welchem Logistikzentrum der Artikel lagert. Gruß ^An
2970602,@AmazonHelp  I need help opening our company store - I want to speak with someone...pls help DM me pls,"@819379 Hi Joseph, thank you for reaching out to us here on Twitter. Are you interested in selling on Amazon? If so, you can reach Seller Support via the ""Contact Us"" button found here: https://t.co/rgMlasDIUy Let us know if you need additional assistance, we'll be here! ^EA"
1662031,"@AmazonHelp hi, I have some money remaining on a All4One giftcard - can this be added to my Amazon account? I can't see how to do this. Thx",@506867 We're here to help! You find information on applying gift cards to your account here: https://t.co/RFblr2bEfX ^VB
227054,@AmazonHelp @144148 @20542 @115821 @115850 Order no - 404-7996060-6752355 Invoice : KA-QSIV-154930911-1718 #Amazon pls process fast,@158923 Kindly connect to our support team here: https://t.co/vlvfJr4nN9 we'll look into this. ^RB 1/2
1177164,"achei um livro q tinha qndo era criança na @amazonhelp
fui felizona comprar
deu erro da compra
cancelei
O VALOR CAIU NA FATURA DO CARTÃO",@396883 Boa noite. O seu comentário foi respondido aqui: https://t.co/qsFmbh4RHB ^CR
522636,Amazon musicの月額780円のやつ始めた。聴きたい曲の7割くらいはあるからそれなりに満足。 https://t.co/kUAAwTuyhz,"@240721 Music Unlimitedをご利用いただきありがとうございます！
今後もより充実したラインナップをお届けできるよう努力して参ります🙇 YM"
156677,@AmazonHelp Shipped with AMZN,@151986 Thanks for the information. Can you tell us who the carrier is for this order: https://t.co/Y5jpI9gRhE? ^VS
1727614,"@AmazonHelp I ordered a netball of 7 netball bibs, but only received 1 bib - please can you help? Thanks!!!",@522444 I'm sorry for the trouble! We'd like to look into this with you. Please call or chat here: https://t.co/JzP7hlA23B ^MH
